PROD_EST,COBERTURA,ANIO,ID_MES,MARCA,MODELO,TIPO,SEGMENTO,ORIGEN,ID_PAIS_ORIGEN,UNI_VEH,ds
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2013,1,Acura,ILX,Automóviles,De Lujo,IMPORTADO,66,59,2013-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2013,1,Acura,Mdx,Camiones ligeros,SUV's,IMPORTADO,40,28,2013-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2013,1,Acura,Rdx,Camiones ligeros,SUV's,IMPORTADO,66,80,2013-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2013,1,Acura,Tl 3.5l,Automóviles,De Lujo,IMPORTADO,66,19,2013-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2013,1,Acura,Tl 3.7l,Automóviles,De Lujo,IMPORTADO,66,4,2013-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2013,1,Acura,TSX 2.4L,Automóviles,De Lujo,IMPORTADO,40,18,2013-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2013,1,Acura,Tsx 3.5l,Automóviles,De Lujo,IMPORTADO,40,4,2013-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2013,1,Alfa Romeo,Alfa Romeo Giulietta Progression Manual,Automóviles,Deportivos,IMPORTADO,124,5,2013-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2013,1,Alfa Romeo,Alfa Romeo Mito Quadrifoglio Verde Manual,Automóviles,Deportivos,IMPORTADO,124,6,2013-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2013,1,Audi,A1-,Automóviles,De Lujo,IMPORTADO,23,269,2013-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2013,1,Audi,A3-,Automóviles,De Lujo,IMPORTADO,4,10,2013-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2013,1,Audi,A4,Automóviles,De Lujo,IMPORTADO,4,216,2013-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2013,1,Audi,A5,Automóviles,De Lujo,IMPORTADO,4,70,2013-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2013,1,Audi,A6,Automóviles,De Lujo,IMPORTADO,4,19,2013-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2013,1,Audi,A7,Automóviles,De Lujo,IMPORTADO,4,13,2013-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2013,1,Audi,A8,Automóviles,De Lujo,IMPORTADO,4,3,2013-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2013,1,Audi,Q3-,Camiones ligeros,SUV's,IMPORTADO,64,118,2013-01
