PROD_EST,COBERTURA,ANIO,ID_MES,MARCA,MODELO,TIPO,SEGMENTO,ORIGEN,ID_PAIS_ORIGEN,UNI_VEH,ds
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2011,1,Acura,Mdx,Camiones ligeros,SUV's,IMPORTADO,40,24,2011-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2011,1,Acura,Rdx,Camiones ligeros,SUV's,IMPORTADO,66,21,2011-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2011,1,Acura,Tl 3.5l,Automóviles,De Lujo,IMPORTADO,66,27,2011-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2011,1,Acura,Tl 3.7l,Automóviles,De Lujo,IMPORTADO,66,5,2011-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2011,1,Acura,TSX 2.4L,Automóviles,De Lujo,IMPORTADO,40,27,2011-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2011,1,Acura,Tsx 3.5l,Automóviles,De Lujo,IMPORTADO,40,6,2011-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2011,1,Acura,ZDX,Camiones ligeros,SUV's,IMPORTADO,40,1,2011-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2011,1,Audi,A 1 1.4T,Automóviles,De Lujo,IMPORTADO,4,63,2011-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2011,1,Audi,Audi Q7 3.0 TDI,Camiones ligeros,SUV's,IMPORTADO,4,5,2011-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2011,1,Audi,Audi Q7 4.2 TDI,Camiones ligeros,SUV's,IMPORTADO,62,3,2011-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2011,1,Audi,A3,Automóviles,De Lujo,IMPORTADO,31,58,2011-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2011,1,Audi,A3 Cabrio,Automóviles,De Lujo,IMPORTADO,94,1,2011-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2011,1,Audi,A4 1.8T,Automóviles,De Lujo,IMPORTADO,4,119,2011-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2011,1,Audi,A4 2.0,Automóviles,De Lujo,IMPORTADO,4,28,2011-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2011,1,Audi,A5 2.0,Automóviles,De Lujo,IMPORTADO,4,10,2011-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2011,1,Audi,A5 2.0T Sportback,Automóviles,Deportivos,IMPORTADO,4,22,2011-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2011,1,Audi,A5 3.2,Automóviles,De Lujo,IMPORTADO,4,1,2011-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2011,1,Audi,A5 3.2 Sportback,Automóviles,Deportivos,IMPORTADO,4,1,2011-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2011,1,Audi,A6 2.8,Automóviles,De Lujo,IMPORTADO,4,1,2011-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2011,1,Audi,A6 3.0,Automóviles,De Lujo,IMPORTADO,4,4,2011-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2011,1,Audi,A8 4.2,Automóviles,De Lujo,IMPORTADO,4,1,2011-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2011,1,Audi,Q5 2.0T,Camiones ligeros,SUV's,IMPORTADO,4,62,2011-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2011,1,Audi,Q5 3.0 TDI,Camiones ligeros,SUV's,IMPORTADO,4,4,2011-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2011,1,Audi,Q5 3.2,Camiones ligeros,SUV's,IMPORTADO,4,5,2011-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2011,1,Audi,Q7 3.0T FSI,Camiones ligeros,SUV's,IMPORTADO,4,24,2011-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2011,1,Audi,RS5 4.2,Automóviles,De Lujo,IMPORTADO,4,1,2011-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2011,1,Audi,R8,Automóviles,De Lujo,IMPORTADO,4,1,2011-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2011,1,Audi,Sportback,Automóviles,De Lujo,IMPORTADO,4,27,2011-01
