PROD_EST,COBERTURA,ANIO,ID_MES,MARCA,MODELO,TIPO,SEGMENTO,ORIGEN,ID_PAIS_ORIGEN,UNI_VEH,ds
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2016,1,Acura,ILX,Automóviles,De Lujo,IMPORTADO,66,39,2016-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2016,1,Acura,Mdx,Camiones ligeros,SUV's,IMPORTADO,40,55,2016-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2016,1,Acura,Rdx,Camiones ligeros,SUV's,IMPORTADO,66,77,2016-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2016,1,Acura,TLX,Automóviles,De Lujo,IMPORTADO,66,34,2016-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2016,1,Alfa Romeo,Alfa Romeo Giulietta Progression Manual,Automóviles,Deportivos,IMPORTADO,124,9,2016-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2016,1,Alfa Romeo,Alfa Romeo Mito Quadrifoglio Verde Manual,Automóviles,Deportivos,IMPORTADO,124,13,2016-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2016,1,Alfa Romeo,4C,Automóviles,De Lujo,IMPORTADO,124,1,2016-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2016,1,Audi,A1-,Automóviles,De Lujo,IMPORTADO,23,255,2016-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2016,1,Audi,A3-,Automóviles,De Lujo,IMPORTADO,4,408,2016-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2016,1,Audi,A4,Automóviles,De Lujo,IMPORTADO,4,50,2016-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2016,1,Audi,A5,Automóviles,De Lujo,IMPORTADO,4,27,2016-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2016,1,Audi,A6,Automóviles,De Lujo,IMPORTADO,4,20,2016-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2016,1,Audi,A7,Automóviles,De Lujo,IMPORTADO,4,13,2016-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2016,1,Audi,A8,Automóviles,De Lujo,IMPORTADO,4,2,2016-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2016,1,Audi,Q3-,Camiones ligeros,SUV's,IMPORTADO,64,136,2016-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2016,1,Audi,Q5 3.2,Camiones ligeros,SUV's,IMPORTADO,4,185,2016-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2016,1,Audi,Q7-,Camiones ligeros,SUV's,IMPORTADO,62,57,2016-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2016,1,Audi,R8,Automóviles,De Lujo,IMPORTADO,4,0,2016-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2016,1,Audi,TT Coupe,Automóviles,De Lujo,IMPORTADO,94,25,2016-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2016,1,Bentley,Continental Flying Spur,Automóviles,De Lujo,IMPORTADO,181,1,2016-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2016,1,BMW,i3,Automóviles,De Lujo,IMPORTADO,4,4,2016-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2016,1,BMW,i8,Automóviles,Deportivos,IMPORTADO,4,2,2016-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2016,1,BMW,Serie 1 Hatch,Automóviles,De Lujo,IMPORTADO,4,141,2016-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2016,1,BMW,Serie 2,Automóviles,De Lujo,IMPORTADO,4,145,2016-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2016,1,BMW,Serie 3,Automóviles,De Lujo,IMPORTADO,4,194,2016-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2016,1,BMW,Serie 4,Automóviles,De Lujo,IMPORTADO,4,104,2016-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2016,1,BMW,Serie 5,Automóviles,De Lujo,IMPORTADO,4,31,2016-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2016,1,BMW,Serie 6,Automóviles,De Lujo,IMPORTADO,4,2,2016-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2016,1,BMW,Serie 7,Automóviles,De Lujo,IMPORTADO,4,1,2016-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2016,1,BMW,X1,Camiones ligeros,SUV's,IMPORTADO,4,109,2016-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2016,1,BMW,X3,Camiones ligeros,SUV's,IMPORTADO,66,69,2016-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2016,1,BMW,X4,Camiones ligeros,SUV's,IMPORTADO,66,53,2016-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2016,1,BMW,X5,Camiones ligeros,SUV's,IMPORTADO,66,102,2016-01
