PROD_EST,COBERTURA,ANIO,ID_MES,MARCA,MODELO,TIPO,SEGMENTO,ORIGEN,ID_PAIS_ORIGEN,UNI_VEH,ds
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2020,1,Acura,ILX,Automóviles,De Lujo,IMPORTADO,66,6,2020-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2020,1,Acura,Mdx,Camiones ligeros,SUV's,IMPORTADO,40,19,2020-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2020,1,Acura,Rdx,Camiones ligeros,SUV's,IMPORTADO,66,78,2020-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2020,1,Acura,TLX,Automóviles,De Lujo,IMPORTADO,66,7,2020-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2020,1,Alfa Romeo,Alfa Romeo Giulietta Progression Manual,Automóviles,Deportivos,IMPORTADO,124,6,2020-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2020,1,Alfa Romeo,Alfa Romeo Mito Quadrifoglio Verde Manual,Automóviles,Deportivos,IMPORTADO,124,0,2020-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2020,1,Alfa Romeo,Giulia,Automóviles,De Lujo,IMPORTADO,124,4,2020-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2020,1,Alfa Romeo,Stelvio,Automóviles,De Lujo,IMPORTADO,124,0,2020-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2020,1,Alfa Romeo,4C,Automóviles,De Lujo,IMPORTADO,124,0,2020-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2020,1,Audi,A1*,Automóviles,De Lujo,IMPORTADO,64,136,2020-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2020,1,Audi,A3,Automóviles,De Lujo,IMPORTADO,31,0,2020-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2020,1,Audi,A3-,Automóviles,De Lujo,IMPORTADO,4,212,2020-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2020,1,Audi,A4,Automóviles,De Lujo,IMPORTADO,4,60,2020-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2020,1,Audi,A5,Automóviles,De Lujo,IMPORTADO,4,34,2020-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2020,1,Audi,A6,Automóviles,De Lujo,IMPORTADO,4,24,2020-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2020,1,Audi,A7,Automóviles,De Lujo,IMPORTADO,4,19,2020-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2020,1,Audi,A8,Automóviles,De Lujo,IMPORTADO,4,2,2020-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2020,1,Audi,e-tron,Camiones ligeros,SUV's,IMPORTADO,23,6,2020-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2020,1,Audi,Q2,Automóviles,De Lujo,IMPORTADO,62,169,2020-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2020,1,Audi,Q5,Camiones ligeros,SUV's,NACIONAL,1,172,2020-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2020,1,Audi,Q7-,Camiones ligeros,SUV's,IMPORTADO,62,10,2020-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2020,1,Audi,Q8,Camiones ligeros,SUV's,IMPORTADO,4,52,2020-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2020,1,Audi,R8,Automóviles,De Lujo,IMPORTADO,4,8,2020-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2020,1,BAIC,BJ20,Camiones ligeros,SUV's,NACIONAL,1,5,2020-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2020,1,BAIC,BJ40,Camiones ligeros,SUV's,IMPORTADO,43,8,2020-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2020,1,BAIC,D20,Automóviles,Subcompactos,NACIONAL,1,78,2020-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2020,1,BAIC,VIGUS3,Camiones ligeros,Pick Ups,IMPORTADO,43,4,2020-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2020,1,BAIC,X25,Automóviles,Subcompactos,NACIONAL,1,88,2020-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2020,1,BAIC,X30,Camiones ligeros,SUV's,IMPORTADO,43,16,2020-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2020,1,BAIC,X35,Automóviles,Subcompactos,IMPORTADO,999,10,2020-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2020,1,Bentley,Bentayga,Automóviles,De Lujo,IMPORTADO,181,0,2020-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2020,1,Bentley,Continental GT,Automóviles,De Lujo,IMPORTADO,181,0,2020-01
