PROD_EST,COBERTURA,ANIO,ID_MES,MARCA,MODELO,TIPO,SEGMENTO,ORIGEN,ID_PAIS_ORIGEN,UNI_VEH,ds
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2015,1,Acura,ILX,Automóviles,De Lujo,IMPORTADO,66,29,2015-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2015,1,Acura,Mdx,Camiones ligeros,SUV's,IMPORTADO,40,17,2015-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2015,1,Acura,Rdx,Camiones ligeros,SUV's,IMPORTADO,66,96,2015-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2015,1,Acura,Rlx,Automóviles,De Lujo,IMPORTADO,126,1,2015-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2015,1,Acura,TLX,Automóviles,De Lujo,IMPORTADO,66,61,2015-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2015,1,Alfa Romeo,Alfa Romeo Giulietta Progression Manual,Automóviles,Deportivos,IMPORTADO,124,4,2015-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2015,1,Alfa Romeo,Alfa Romeo Mito Quadrifoglio Verde Manual,Automóviles,Deportivos,IMPORTADO,124,5,2015-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2015,1,Audi,A1-,Automóviles,De Lujo,IMPORTADO,23,318,2015-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2015,1,Audi,A3-,Automóviles,De Lujo,IMPORTADO,4,262,2015-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2015,1,Audi,A4,Automóviles,De Lujo,IMPORTADO,4,171,2015-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2015,1,Audi,A5,Automóviles,De Lujo,IMPORTADO,4,52,2015-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2015,1,Audi,A6,Automóviles,De Lujo,IMPORTADO,4,2,2015-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2015,1,Audi,A7,Automóviles,De Lujo,IMPORTADO,4,1,2015-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2015,1,Audi,A8,Automóviles,De Lujo,IMPORTADO,4,2,2015-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2015,1,Audi,Q3-,Camiones ligeros,SUV's,IMPORTADO,64,106,2015-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2015,1,Audi,Q5 3.2,Camiones ligeros,SUV's,IMPORTADO,4,125,2015-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2015,1,Audi,Q7-,Camiones ligeros,SUV's,IMPORTADO,62,29,2015-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2015,1,Audi,R8,Automóviles,De Lujo,IMPORTADO,4,4,2015-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2015,1,Audi,TT Coupe,Automóviles,De Lujo,IMPORTADO,94,1,2015-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2015,1,Bentley,Continental Flying Spur,Automóviles,De Lujo,IMPORTADO,181,1,2015-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2015,1,BMW,i3,Automóviles,De Lujo,IMPORTADO,4,0,2015-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2015,1,BMW,i8,Automóviles,Deportivos,IMPORTADO,4,1,2015-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2015,1,BMW,Serie 1 Hatch,Automóviles,De Lujo,IMPORTADO,4,143,2015-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2015,1,BMW,Serie 2,Automóviles,De Lujo,IMPORTADO,4,46,2015-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2015,1,BMW,Serie 3,Automóviles,De Lujo,IMPORTADO,4,266,2015-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2015,1,BMW,Serie 4,Automóviles,De Lujo,IMPORTADO,4,77,2015-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2015,1,BMW,Serie 5,Automóviles,De Lujo,IMPORTADO,4,42,2015-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2015,1,BMW,Serie 6,Automóviles,De Lujo,IMPORTADO,4,3,2015-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2015,1,BMW,Serie 7,Automóviles,De Lujo,IMPORTADO,4,5,2015-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2015,1,BMW,X1,Camiones ligeros,SUV's,IMPORTADO,4,34,2015-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2015,1,BMW,X3,Camiones ligeros,SUV's,IMPORTADO,66,131,2015-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2015,1,BMW,X4,Camiones ligeros,SUV's,IMPORTADO,66,34,2015-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2015,1,BMW,X5,Camiones ligeros,SUV's,IMPORTADO,66,61,2015-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2015,1,BMW,X6,Camiones ligeros,SUV's,IMPORTADO,66,20,2015-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2015,1,BMW,Z4-,Automóviles,De Lujo,IMPORTADO,4,3,2015-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2015,1,Chrysler,Attitude,Automóviles,Subcompactos,IMPORTADO,214,138,2015-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2015,1,Chrysler,Avenger,Automóviles,Compactos,IMPORTADO,66,29,2015-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2015,1,Chrysler,Challenger,Automóviles,Deportivos,IMPORTADO,40,57,2015-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2015,1,Chrysler,Charger,Automóviles,De Lujo,IMPORTADO,40,36,2015-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2015,1,Chrysler,Cherokee,Camiones ligeros,SUV's,IMPORTADO,66,588,2015-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2015,1,Chrysler,Chrysler 200,Automóviles,De Lujo,IMPORTADO,66,177,2015-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2015,1,Chrysler,Chrysler 300,Automóviles,De Lujo,IMPORTADO,40,10,2015-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2015,1,Chrysler,Crew Cab-,Camiones ligeros,Pick Ups,NACIONAL,1,283,2015-01
