PROD_EST,COBERTURA,ANIO,ID_MES,MARCA,MODELO,TIPO,SEGMENTO,ORIGEN,ID_PAIS_ORIGEN,UNI_VEH,ds
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2019,1,Acura,ILX,Automóviles,De Lujo,IMPORTADO,66,7,2019-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2019,1,Acura,Mdx,Camiones ligeros,SUV's,IMPORTADO,40,21,2019-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2019,1,Acura,NSX,Automóviles,Deportivos,IMPORTADO,66,0,2019-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2019,1,Acura,Rdx,Camiones ligeros,SUV's,IMPORTADO,66,109,2019-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2019,1,Acura,TLX,Automóviles,De Lujo,IMPORTADO,66,21,2019-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2019,1,Alfa Romeo,Alfa Romeo Giulietta Progression Manual,Automóviles,Deportivos,IMPORTADO,124,1,2019-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2019,1,Alfa Romeo,Alfa Romeo Mito Quadrifoglio Verde Manual,Automóviles,Deportivos,IMPORTADO,124,2,2019-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2019,1,Alfa Romeo,Giulia,Automóviles,De Lujo,IMPORTADO,124,1,2019-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2019,1,Alfa Romeo,Stelvio,Automóviles,De Lujo,IMPORTADO,124,1,2019-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2019,1,Alfa Romeo,4C,Automóviles,De Lujo,IMPORTADO,124,2,2019-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2019,1,Audi,A1,Automóviles,De Lujo,IMPORTADO,4,27,2019-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2019,1,Audi,A3,Automóviles,De Lujo,IMPORTADO,31,269,2019-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2019,1,Audi,A4,Automóviles,De Lujo,IMPORTADO,4,40,2019-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2019,1,Audi,A5,Automóviles,De Lujo,IMPORTADO,4,98,2019-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2019,1,Audi,A6,Automóviles,De Lujo,IMPORTADO,4,0,2019-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2019,1,Audi,A7,Automóviles,De Lujo,IMPORTADO,4,2,2019-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2019,1,Audi,A8,Automóviles,De Lujo,IMPORTADO,4,1,2019-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2019,1,Audi,Q2,Automóviles,De Lujo,IMPORTADO,62,156,2019-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2019,1,Audi,Q3,Automóviles,De Lujo,IMPORTADO,94,13,2019-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2019,1,Audi,Q5,Camiones ligeros,SUV's,NACIONAL,1,179,2019-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2019,1,Audi,Q7,Camiones ligeros,SUV's,IMPORTADO,4,31,2019-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2019,1,Audi,R8,Automóviles,De Lujo,IMPORTADO,4,0,2019-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2019,1,Audi,TT Coupe,Automóviles,De Lujo,IMPORTADO,94,0,2019-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2019,1,BAIC,BJ20,Camiones ligeros,SUV's,NACIONAL,1,16,2019-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2019,1,BAIC,BJ40,Camiones ligeros,SUV's,IMPORTADO,43,14,2019-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2019,1,BAIC,D20,Automóviles,Subcompactos,NACIONAL,1,162,2019-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2019,1,BAIC,X25,Automóviles,Subcompactos,NACIONAL,1,111,2019-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2019,1,BAIC,X35,Automóviles,Subcompactos,IMPORTADO,999,56,2019-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2019,1,BAIC,X65,Camiones ligeros,SUV's,IMPORTADO,43,4,2019-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2019,1,Bentley,Bentayga,Automóviles,De Lujo,IMPORTADO,181,1,2019-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2019,1,Bentley,Continental GT,Automóviles,De Lujo,IMPORTADO,181,0,2019-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2019,1,Bentley,Continental GTC,Automóviles,De Lujo,IMPORTADO,181,0,2019-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2019,1,Bentley,Flying Spur,Automóviles,De Lujo,IMPORTADO,181,0,2019-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2019,1,Bentley,Mulsanne,Automóviles,De Lujo,IMPORTADO,181,0,2019-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2019,1,BMW,i3,Automóviles,De Lujo,IMPORTADO,4,7,2019-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2019,1,BMW,i8,Automóviles,Deportivos,IMPORTADO,4,1,2019-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2019,1,BMW,Serie 1 Hatch,Automóviles,De Lujo,IMPORTADO,4,154,2019-01
