PROD_EST,COBERTURA,ANIO,ID_MES,MARCA,MODELO,TIPO,SEGMENTO,ORIGEN,ID_PAIS_ORIGEN,UNI_VEH,ds
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2012,1,Acura,Mdx,Camiones ligeros,SUV's,IMPORTADO,40,33,2012-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2012,1,Acura,Rdx,Camiones ligeros,SUV's,IMPORTADO,66,26,2012-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2012,1,Acura,Tl 3.5l,Automóviles,De Lujo,IMPORTADO,66,40,2012-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2012,1,Acura,Tl 3.7l,Automóviles,De Lujo,IMPORTADO,66,3,2012-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2012,1,Acura,TSX 2.4L,Automóviles,De Lujo,IMPORTADO,40,30,2012-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2012,1,Acura,Tsx 3.5l,Automóviles,De Lujo,IMPORTADO,40,2,2012-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2012,1,Acura,ZDX,Camiones ligeros,SUV's,IMPORTADO,40,2,2012-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2012,1,Alfa Romeo,Alfa Romeo Giulietta Progression Manual,Automóviles,Deportivos,IMPORTADO,124,4,2012-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2012,1,Alfa Romeo,Alfa Romeo Mito Quadrifoglio Verde Manual,Automóviles,Deportivos,IMPORTADO,124,3,2012-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2012,1,Alfa Romeo,Alfa Romeo 159 2.2 Jts Sport Plus Selespeed,Automóviles,De Lujo,IMPORTADO,124,2,2012-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2012,1,Audi,A1-,Automóviles,De Lujo,IMPORTADO,23,220,2012-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2012,1,Audi,A3-,Automóviles,De Lujo,IMPORTADO,4,62,2012-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2012,1,Audi,A4,Automóviles,De Lujo,IMPORTADO,4,111,2012-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2012,1,Audi,A5,Automóviles,De Lujo,IMPORTADO,4,10,2012-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2012,1,Audi,A6,Automóviles,De Lujo,IMPORTADO,4,39,2012-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2012,1,Audi,A7,Automóviles,De Lujo,IMPORTADO,4,18,2012-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2012,1,Audi,A8,Automóviles,De Lujo,IMPORTADO,4,2,2012-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2012,1,Audi,Q3-,Camiones ligeros,SUV's,IMPORTADO,64,0,2012-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2012,1,Audi,Q5 3.2,Camiones ligeros,SUV's,IMPORTADO,4,74,2012-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2012,1,Audi,Q7-,Camiones ligeros,SUV's,IMPORTADO,62,28,2012-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2012,1,Audi,R8,Automóviles,De Lujo,IMPORTADO,4,2,2012-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2012,1,Audi,TT Coupe,Automóviles,De Lujo,IMPORTADO,94,8,2012-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2012,1,BMW,Serie 1 Hatch,Automóviles,De Lujo,IMPORTADO,4,159,2012-01
