PROD_EST,COBERTURA,ANIO,ID_MES,MARCA,MODELO,TIPO,SEGMENTO,ORIGEN,ID_PAIS_ORIGEN,UNI_VEH,ds
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2014,1,Acura,ILX,Automóviles,De Lujo,IMPORTADO,66,39,2014-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2014,1,Acura,Mdx,Camiones ligeros,SUV's,IMPORTADO,40,86,2014-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2014,1,Acura,Rdx,Camiones ligeros,SUV's,IMPORTADO,66,96,2014-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2014,1,Acura,Tl 3.5l,Automóviles,De Lujo,IMPORTADO,66,9,2014-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2014,1,Acura,TSX 2.4L,Automóviles,De Lujo,IMPORTADO,40,2,2014-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2014,1,Alfa Romeo,Alfa Romeo Giulietta Progression Manual,Automóviles,Deportivos,IMPORTADO,124,5,2014-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2014,1,Alfa Romeo,Alfa Romeo Mito Quadrifoglio Verde Manual,Automóviles,Deportivos,IMPORTADO,124,19,2014-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2014,1,Audi,A1-,Automóviles,De Lujo,IMPORTADO,23,348,2014-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2014,1,Audi,A3-,Automóviles,De Lujo,IMPORTADO,4,193,2014-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2014,1,Audi,A4,Automóviles,De Lujo,IMPORTADO,4,136,2014-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2014,1,Audi,A5,Automóviles,De Lujo,IMPORTADO,4,49,2014-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2014,1,Audi,A6,Automóviles,De Lujo,IMPORTADO,4,12,2014-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2014,1,Audi,A7,Automóviles,De Lujo,IMPORTADO,4,8,2014-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2014,1,Audi,A8,Automóviles,De Lujo,IMPORTADO,4,1,2014-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2014,1,Audi,Q3-,Camiones ligeros,SUV's,IMPORTADO,64,128,2014-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2014,1,Audi,Q5 3.2,Camiones ligeros,SUV's,IMPORTADO,4,115,2014-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2014,1,Audi,Q7-,Camiones ligeros,SUV's,IMPORTADO,62,24,2014-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2014,1,Audi,R8,Automóviles,De Lujo,IMPORTADO,4,6,2014-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2014,1,Audi,TT Coupe,Automóviles,De Lujo,IMPORTADO,94,4,2014-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2014,1,Bentley,Continental Flying Spur,Automóviles,De Lujo,IMPORTADO,181,1,2014-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2014,1,Bentley,New Flying Spur,Automóviles,De Lujo,IMPORTADO,181,1,2014-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2014,1,BMW,i3,Automóviles,De Lujo,IMPORTADO,4,0,2014-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2014,1,BMW,i8,Automóviles,Deportivos,IMPORTADO,4,0,2014-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2014,1,BMW,Serie 1 Hatch,Automóviles,De Lujo,IMPORTADO,4,168,2014-01
