PROD_EST,COBERTURA,ANIO,ID_MES,MARCA,MODELO,TIPO,SEGMENTO,ORIGEN,ID_PAIS_ORIGEN,UNI_VEH,ds
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2018,1,Acura,ILX,Automóviles,De Lujo,IMPORTADO,66,18,2018-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2018,1,Acura,Mdx,Camiones ligeros,SUV's,IMPORTADO,40,78,2018-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2018,1,Acura,NSX,Automóviles,Deportivos,IMPORTADO,66,1,2018-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2018,1,Acura,Rdx,Camiones ligeros,SUV's,IMPORTADO,66,34,2018-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2018,1,Acura,TLX,Automóviles,De Lujo,IMPORTADO,66,31,2018-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2018,1,Alfa Romeo,Alfa Romeo Giulietta Progression Manual,Automóviles,Deportivos,IMPORTADO,124,7,2018-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2018,1,Alfa Romeo,Alfa Romeo Mito Quadrifoglio Verde Manual,Automóviles,Deportivos,IMPORTADO,124,5,2018-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2018,1,Alfa Romeo,Giulia,Automóviles,De Lujo,IMPORTADO,124,1,2018-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2018,1,Audi,A1-,Automóviles,De Lujo,IMPORTADO,23,124,2018-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2018,1,Audi,A3-,Automóviles,De Lujo,IMPORTADO,4,357,2018-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2018,1,Audi,A4,Automóviles,De Lujo,IMPORTADO,4,113,2018-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2018,1,Audi,A5,Automóviles,De Lujo,IMPORTADO,4,104,2018-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2018,1,Audi,A6,Automóviles,De Lujo,IMPORTADO,4,15,2018-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2018,1,Audi,A7,Automóviles,De Lujo,IMPORTADO,4,12,2018-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2018,1,Audi,A8,Automóviles,De Lujo,IMPORTADO,4,2,2018-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2018,1,Audi,Q2,Automóviles,De Lujo,IMPORTADO,62,110,2018-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2018,1,Audi,Q3-,Camiones ligeros,SUV's,IMPORTADO,64,83,2018-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2018,1,Audi,Q5,Camiones ligeros,SUV's,NACIONAL,1,207,2018-01
